file_path	priority_score	entropy_reduction_potential	complexity_reduction_potential	risk_assessment	mathematical_guidance	cyclomatic_reduction	function_extraction_potential
openhcs/tui/plate_manager_core.py	10.051	1.000	22.500	HIGH	HIGH_COMPLEXITY: Use gauge theory transformations; KNOT_THEORY: Untangle dependency crossings	40.5	7.0
openhcs/tui/menu_bar.py	9.614	1.000	22.480	HIGH	HIGH_COMPLEXITY: Use gauge theory transformations; KNOT_THEORY: Untangle dependency crossings	35.4	8.4
openhcs/tui/tui_architecture.py	8.455	1.000	22.581	HIGH	HIGH_COMPLEXITY: Use gauge theory transformations; KNOT_THEORY: Untangle dependency crossings	30.0	4.8
openhcs/tui/commands.py	8.330	1.000	22.957	HIGH	HIGH_COMPLEXITY: Use gauge theory transformations; KNOT_THEORY: Untangle dependency crossings	32.1	3.3
openhcs/tui/function_pattern_editor.py	7.720	1.000	22.439	HIGH	HIGH_COMPLEXITY: Use gauge theory transformations; KNOT_THEORY: Untangle dependency crossings	27.9	5.2
openhcs/tui/pipeline_editor.py	7.678	1.000	22.354	HIGH	HIGH_COMPLEXITY: Use gauge theory transformations; KNOT_THEORY: Untangle dependency crossings	28.2	6.3
openhcs/tui/dual_step_func_editor.py	7.227	1.000	22.618	HIGH	HIGH_COMPLEXITY: Use gauge theory transformations; KNOT_THEORY: Untangle dependency crossings	27.3	5.7
openhcs/tui/dialogs/global_settings_editor.py	6.427	1.000	22.508	MEDIUM	HIGH_COMPLEXITY: Use gauge theory transformations; KNOT_THEORY: Untangle dependency crossings	25.8	3.1
openhcs/tui/file_browser.py	5.986	1.000	22.562	MEDIUM	HIGH_COMPLEXITY: Use gauge theory transformations; KNOT_THEORY: Untangle dependency crossings	21.9	4.3
openhcs/tui/dialogs/plate_dialog_manager.py	5.223	1.000	21.982	MEDIUM	HIGH_COMPLEXITY: Use gauge theory transformations; KNOT_THEORY: Untangle dependency crossings	17.7	3.0
openhcs/tui/tui_launcher.py	4.501	1.000	22.578	MEDIUM	HIGH_COMPLEXITY: Use gauge theory transformations; KNOT_THEORY: Untangle dependency crossings	14.7	2.3
openhcs/tui/dialogs/plate_config_editor.py	4.486	1.000	23.006	MEDIUM	HIGH_COMPLEXITY: Use gauge theory transformations; KNOT_THEORY: Untangle dependency crossings	15.3	3.1
openhcs/tui/status_bar.py	4.061	1.000	23.371	MEDIUM	HIGH_COMPLEXITY: Use gauge theory transformations; KNOT_THEORY: Untangle dependency crossings	11.4	3.1
openhcs/tui/commands/pipeline_commands.py	3.369	1.000	20.463	LOW	HIGH_COMPLEXITY: Use gauge theory transformations; KNOT_THEORY: Untangle dependency crossings	9.3	0.3
openhcs/tui/commands/simplified_commands.py	3.277	1.000	21.823	LOW	HIGH_COMPLEXITY: Use gauge theory transformations; KNOT_THEORY: Untangle dependency crossings	9.3	0.2
openhcs/tui/services/command_service.py	2.672	1.000	20.566	LOW	KNOT_THEORY: Untangle dependency crossings	6.0	1.2
openhcs/tui/components/interactive_list_item.py	2.626	1.000	22.312	LOW	KNOT_THEORY: Untangle dependency crossings	6.3	1.5
openhcs/tui/utils/safe_formatting.py	2.599	1.000	22.538	LOW	KNOT_THEORY: Untangle dependency crossings	5.4	1.2
openhcs/tui/components.py	2.566	1.000	22.631	LOW	KNOT_THEORY: Untangle dependency crossings	5.4	1.4
openhcs/tui/controllers/application_controller.py	2.535	1.000	21.735	LOW	KNOT_THEORY: Untangle dependency crossings	5.7	1.4
openhcs/tui/controllers/plate_manager_controller.py	2.459	1.000	21.989	LOW	KNOT_THEORY: Untangle dependency crossings	5.7	1.6
openhcs/tui/views/menu_view.py	2.435	1.000	21.502	MEDIUM	KNOT_THEORY: Untangle dependency crossings	5.1	2.1
openhcs/tui/views/plate_manager_view.py	2.426	1.000	21.511	LOW	KNOT_THEORY: Untangle dependency crossings	5.1	1.4
openhcs/tui/dialogs/help_dialog.py	2.400	1.000	23.197	LOW	KNOT_THEORY: Untangle dependency crossings	5.1	1.3
openhcs/tui/services/plate_validation.py	2.394	1.000	21.555	LOW	KNOT_THEORY: Untangle dependency crossings	4.8	0.7
openhcs/tui/services/menu_service.py	2.374	1.000	22.562	MEDIUM	KNOT_THEORY: Untangle dependency crossings	3.6	3.7
openhcs/tui/__main__.py	2.372	1.000	24.277	LOW	KNOT_THEORY: Untangle dependency crossings	4.8	0.9
openhcs/tui/components/parameter_editor.py	2.346	1.000	22.160	LOW	KNOT_THEORY: Untangle dependency crossings	4.5	1.8
openhcs/tui/services/dialog_service.py	2.204	1.000	19.841	LOW	KNOT_THEORY: Untangle dependency crossings	4.2	1.2
openhcs/tui/services/plate_manager_service.py	2.171	1.000	21.572	LOW	KNOT_THEORY: Untangle dependency crossings	4.2	0.9
openhcs/tui/controllers/layout_controller.py	2.163	1.000	21.708	MEDIUM	KNOT_THEORY: Untangle dependency crossings	2.7	1.4
openhcs/tui/controllers/menu_controller.py	2.160	1.000	21.322	LOW	KNOT_THEORY: Untangle dependency crossings	3.6	1.6
openhcs/tui/services/external_editor_service.py	2.150	1.000	22.073	LOW	KNOT_THEORY: Untangle dependency crossings	4.5	0.5
openhcs/tui/commands/base_command.py	2.115	1.000	21.981	MEDIUM	KNOT_THEORY: Untangle dependency crossings	3.0	2.3
openhcs/tui/commands/plate_commands.py	2.012	0.910	21.594	LOW	KNOT_THEORY: Untangle dependency crossings	3.3	0.3
openhcs/tui/commands/registry.py	1.957	1.000	21.582	LOW	KNOT_THEORY: Untangle dependency crossings	3.6	0.7
openhcs/tui/commands/dialog_commands.py	1.938	0.906	22.250	LOW	KNOT_THEORY: Untangle dependency crossings	3.0	0.3
openhcs/tui/utils/error_handling.py	1.891	1.000	21.823	LOW	KNOT_THEORY: Untangle dependency crossings	3.3	0.5
