pipeline_name,method,assay_category,module_category,accuracy_fraction,raw_seconds,speedup,peak_memory_mb
Tracking + object measurement,CP,Aggregate,Tracking + object measurement,1.0,27.457213897025213,1.0,
Tracking + object measurement,OH1,Aggregate,Tracking + object measurement,1.0,6.173355053062551,4.447697185893093,
Worm model + straightening,CP,Aggregate,Worm model + straightening,1.0,3.81953086797148,1.0,
Worm model + straightening,OH1,Aggregate,Worm model + straightening,1.0,0.6041763980174437,6.3218802993711165,
Worm model + shape measurement,CP,Aggregate,Worm model + shape measurement,1.0,5.031611404032446,1.0,
Worm model + shape measurement,OH1,Aggregate,Worm model + shape measurement,1.0,1.035060856025666,4.861174465965584,
Worm model + brightfield segmentation,CP,Aggregate,Worm model + brightfield segmentation,1.0,8.372505439037923,1.0,
Worm model + brightfield segmentation,OH1,Aggregate,Worm model + brightfield segmentation,1.0,1.7103484499966726,4.895204505873766,
Segmentation + distance measurement,CP,Aggregate,Segmentation + distance measurement,1.0,5.32681561895879,1.0,
Segmentation + distance measurement,OH1,Aggregate,Segmentation + distance measurement,1.0,0.9907379059586674,5.376614326474574,
Colony segmentation + measurement,CP,Aggregate,Colony segmentation + measurement,1.0,13.438055921986233,1.0,
Colony segmentation + measurement,OH1,Aggregate,Colony segmentation + measurement,1.0,2.382725012023002,5.639784639091415,
Texture/patch measurement,CP,Aggregate,Texture/patch measurement,1.0,6.814952241955325,1.0,
Texture/patch measurement,OH1,Aggregate,Texture/patch measurement,1.0,1.1057964880019426,6.162935328424874,
Object set algebra,CP,Aggregate,Object set algebra,1.0,2.171098146995064,1.0,
Object set algebra,OH1,Aggregate,Object set algebra,1.0,0.03782975790090859,57.39127785808322,
3D segmentation + measurement,CP,Aggregate,3D segmentation + measurement,1.0,17.2377032910008,1.0,
3D segmentation + measurement,OH1,Aggregate,3D segmentation + measurement,1.0,3.654651029035449,4.716648225521616,
Advanced segmentation + measurement,CP,Aggregate,Advanced segmentation + measurement,1.0,24.793343506986275,1.0,
Advanced segmentation + measurement,OH1,Aggregate,Advanced segmentation + measurement,1.0,4.47793747310061,5.536777513290932,
Pixel classification,CP,Aggregate,Pixel classification,1.0,5.077472341014072,1.0,
Pixel classification,OH1,Aggregate,Pixel classification,1.0,0.69360328593757,7.320427172069491,
Image quality measurement,CP,Aggregate,Image quality measurement,1.0,3.7222831519902684,1.0,
Image quality measurement,OH1,Aggregate,Image quality measurement,1.0,0.24097109399735928,15.44701105117222,
Segmentation + classification,CP,Aggregate,Segmentation + classification,1.0,3.2488700069952756,1.0,
Segmentation + classification,OH1,Aggregate,Segmentation + classification,1.0,0.32226161810103804,10.081467430529266,
Starter nuclei segmentation,CP,Aggregate,Starter nuclei segmentation,1.0,2.478620753972791,1.0,
Starter nuclei segmentation,OH1,Aggregate,Starter nuclei segmentation,1.0,0.1339230389567092,18.507799503967412,
